Date,Time,Away Team,Away Code,Away Score,Home Team,Home Code,Home Score,Game Link,Away Goalie,Away GA,Away DEC,Away SA,Away Saves,Away SV%,Away Shutouts,Away PIM,Away TOI,Home Goalie,Home GA,Home DEC,Home SA,Home Saves,Home SV%,Home Shutouts,Home PIM,Home TOI
2023-10-10,8:00 PM,Chicago Blackhawks,CHI,4,Pittsburgh Penguins,PIT,2,https://www.hockey-reference.com/boxscores/202310100PIT.html,Petr Mrázek,2,W,41,39,.951,0,0,60:00,Tristan Jarry,3,L,35,32,.914,0,0,57:30
2023-10-10,5:30 PM,Nashville Predators,NSH,3,Tampa Bay Lightning,TBL,5,https://www.hockey-reference.com/boxscores/202310100TBL.html,Juuse Saros,4,L,33,29,.879,0,0,57:16,Jonas Johansson,3,W,31,28,.903,0,0,60:00
2023-10-10,10:30 PM,Seattle Kraken,SEA,1,Vegas Golden Knights,VEG,4,https://www.hockey-reference.com/boxscores/202310100VEG.html,Philipp Grubauer,3,L,27,24,.889,0,0,59:37,Adin Hill,1,W,33,32,.970,0,0,60:00
2023-10-11,7:30 PM,Chicago Blackhawks,CHI,1,Boston Bruins,BOS,3,https://www.hockey-reference.com/boxscores/202310110BOS.html,Arvid Söderblom,2,L,32,30,.938,0,0,59:11,Linus Ullmark,1,W,21,20,.952,0,0,59:53
2023-10-11,7:00 PM,Ottawa Senators,OTT,3,Carolina Hurricanes,CAR,5,https://www.hockey-reference.com/boxscores/202310110CAR.html,Joonas Korpisalo,5,L,42,37,.881,0,0,59:25,Frederik Andersen,3,W,30,27,.900,0,0,60:00
2023-10-11,10:00 PM,Winnipeg Jets,WPG,3,Calgary Flames,CGY,5,https://www.hockey-reference.com/boxscores/202310110CGY.html,Connor Hellebuyck,4,L,21,17,.810,0,0,58:12,Jacob Markström,3,W,37,34,.919,0,0,59:44
2023-10-11,10:00 PM,Colorado Avalanche,COL,5,Los Angeles Kings,LAK,2,https://www.hockey-reference.com/boxscores/202310110LAK.html,Alexandar Georgiev,2,W,36,34,.944,0,0,60:00,Cam Talbot,4,L,36,32,.889,0,0,59:39
2023-10-11,7:00 PM,Montreal Canadiens,MTL,5,Toronto Maple Leafs,TOR,6,https://www.hockey-reference.com/boxscores/202310110TOR.html,Jake Allen,5,O,42,37,.881,0,0,65:00,Ilya Samsonov,5,W,24,19,.792,0,0,62:06
2023-10-11,10:00 PM,Edmonton Oilers,EDM,1,Vancouver Canucks,VAN,8,https://www.hockey-reference.com/boxscores/202310110VAN.html,Jack Campbell,4,L,16,12,.750,0,0,27:30,Thatcher Demko,1,W,22,21,.955,0,0,48:05
2023-10-12,7:00 PM,New York Rangers,NYR,5,Buffalo Sabres,BUF,1,https://www.hockey-reference.com/boxscores/202310120BUF.html,Igor Shesterkin,1,W,25,24,.960,0,0,60:00,Devon Levi,4,L,30,26,.867,0,0,58:54
2023-10-12,7:00 PM,Philadelphia Flyers,PHI,4,Columbus Blue Jackets,CBJ,2,https://www.hockey-reference.com/boxscores/202310120CBJ.html,Carter Hart,2,W,33,31,.939,0,0,60:00,Elvis Merzļikins,2,L,35,33,.943,0,0,58:01
2023-10-12,8:00 PM,St. Louis Blues,STL,1,Dallas Stars,DAL,2,https://www.hockey-reference.com/boxscores/202310120DAL.html,Jordan Binnington,1,O,34,33,.971,0,0,64:50,Jake Oettinger,1,W,24,23,.958,0,0,65:00
2023-10-12,8:00 PM,Florida Panthers,FLA,0,Minnesota Wild,MIN,2,https://www.hockey-reference.com/boxscores/202310120MIN.html,Sergei Bobrovsky,2,L,21,19,.905,0,0,57:18,Filip Gustavsson,0,W,41,41,1.000,1,0,60:00
2023-10-12,7:30 PM,Detroit Red Wings,DET,3,New Jersey Devils,NJD,4,https://www.hockey-reference.com/boxscores/202310120NJD.html,Ville Husso,3,L,26,23,.885,0,0,57:48,Vítek Vaněček,3,W,35,32,.914,0,0,59:58
2023-10-12,8:00 PM,Seattle Kraken,SEA,0,Nashville Predators,NSH,3,https://www.hockey-reference.com/boxscores/202310120NSH.html,Philipp Grubauer,2,L,34,32,.941,0,0,57:52,Juuse Saros,0,W,23,23,1.000,1,0,59:36
